episode,flow_id,src,dst,throughput_mbps,rtt_ms,jitter_ms,loss_pct,absolute_reward
61,e61-h3-h10-g2,h3,h10,29.9,56.784,0.1,0.13,-0.06630436363636365
61,e61-h4-h9-g3,h4,h9,12.8,56.718,0.086,0.11,-0.09617927272727272
62,e62-h1-h12-g0,h1,h12,39.9,79.188,0.077,1.7,-0.17129254545454548
62,e62-h2-h11-g1,h2,h11,12.5,56.361,0.087,0.12,-0.09651672727272725
62,e62-h3-h10-g2,h3,h10,38.9,76.8955,0.074,1.6,-0.16350772727272728
62,e62-h4-h9-g3,h4,h9,51.3,85.775,0.069,2.2,-0.1886912727272727
63,e63-h1-h12-g0,h1,h12,17.0,55.9025,0.092,0.15,-0.08894790909090908
63,e63-h2-h11-g1,h2,h11,41.6,72.322,0.069,1.6,-0.14942163636363637
63,e63-h3-h10-g2,h3,h10,29.0,62.2305,0.067,1.1,-0.12713572727272726
63,e63-h4-h9-g3,h4,h9,17.5,68.574,0.071,0.52,-0.13175581818181817
64,e64-h1-h12-g0,h1,h12,16.3,63.45,0.07,0.5,-0.12268363636363637
64,e64-h2-h11-g1,h2,h11,17.2,67.01249999999999,0.069,0.61,-0.1336662727272727
64,e64-h3-h10-g2,h3,h10,19.7,70.1475,0.074,0.61,-0.13542081818181817
64,e64-h4-h9-g3,h4,h9,17.9,62.3035,0.069,0.59,-0.12197554545454545
65,e65-h1-h12-g0,h1,h12,41.3,76.257,0.068,1.8,-0.16783109090909093
65,e65-h2-h11-g1,h2,h11,19.4,62.946,0.069,0.6,-0.12103327272727274
65,e65-h3-h10-g2,h3,h10,14.7,56.328500000000005,0.084,0.092,-0.0910337272727273
65,e65-h4-h9-g3,h4,h9,23.5,55.486000000000004,0.091,0.11,-0.0742907272727273
66,e66-h1-h12-g0,h1,h12,38.3,54.9975,0.0,0.0,-0.040358636363636374
66,e66-h2-h11-g1,h2,h11,31.6,65.7555,0.0,0.0,-0.07405645454545454
66,e66-h3-h10-g2,h3,h10,9.88,60.3605,0.081,0.1,-0.10824336363636362
66,e66-h4-h9-g3,h4,h9,29.3,68.025,0.078,1.1,-0.13824527272727272
67,e67-h1-h12-g0,h1,h12,47.0,78.45599999999999,0.067,2.0,-0.1718594545454545
67,e67-h2-h11-g1,h2,h11,36.3,72.18549999999999,0.069,1.3,-0.14378499999999997
67,e67-h3-h10-g2,h3,h10,26.5,72.595,0.069,1.1,-0.1524221818181818
67,e67-h4-h9-g3,h4,h9,26.5,61.326499999999996,0.066,0.95,-0.12236718181818179
68,e68-h1-h12-g0,h1,h12,24.5,65.3955,0.069,0.76,-0.12465954545454544
68,e68-h2-h11-g1,h2,h11,21.4,54.9195,0.081,0.12,-0.0774159090909091
68,e68-h3-h10-g2,h3,h10,52.9,90.4305,0.076,1.9,-0.1801351818181818
68,e68-h4-h9-g3,h4,h9,16.6,60.947,0.066,0.42,-0.1131081818181818
69,e69-h1-h12-g0,h1,h12,19.8,65.9875,0.071,0.75,-0.13390099999999996
69,e69-h2-h11-g1,h2,h11,47.9,80.2295,0.068,2.0,-0.1737760909090909
69,e69-h3-h10-g2,h3,h10,43.9,53.513,0.096,0.092,-0.032383818181818166
69,e69-h4-h9-g3,h4,h9,44.7,52.8675,0.072,0.076,-0.02869427272727272
