episode,flow_id,src,dst,throughput_mbps,rtt_ms,jitter_ms,loss_pct,absolute_reward
134,e134-h2-h15-g1,h2,h15,21.8,92.39750000000001,0.0,0.0,-0.006994055555555552
135,e135-h1-h16-g0,h1,h16,8.37,84.74199999999999,0.152,0.09,-0.03405119999999998
135,e135-h2-h15-g1,h2,h15,7.66,83.05600000000001,0.14,0.094,-0.034641377777777774
136,e136-h1-h16-g0,h1,h16,26.0,92.1585,0.084,1.0,-0.012769322222222225
136,e136-h2-h15-g1,h2,h15,8.42,82.0315,0.148,0.15,-0.03320178888888888
137,e137-h1-h16-g0,h1,h16,19.2,90.31649999999999,0.082,0.78,-0.023469233333333325
137,e137-h2-h15-g1,h2,h15,9.55,81.66550000000001,0.135,0.093,-0.029577077777777776
138,e138-h1-h16-g0,h1,h16,15.5,82.91149999999999,0.079,0.64,-0.025139455555555544
138,e138-h2-h15-g1,h2,h15,17.1,82.6745,0.0,0.0,-0.011604699999999989
139,e139-h1-h16-g0,h1,h16,14.5,86.265,0.083,0.57,-0.028335777777777762
139,e139-h2-h15-g1,h2,h15,13.7,80.925,0.126,0.074,-0.019598555555555553
140,e140-h1-h16-g0,h1,h16,8.27,82.53399999999999,0.138,0.09,-0.032906622222222216
140,e140-h2-h15-g1,h2,h15,26.7,95.58250000000001,0.081,1.1,-0.014759166666666677
141,e141-h1-h16-g0,h1,h16,7.4,84.382,0.123,0.12,-0.03635375555555556
141,e141-h2-h15-g1,h2,h15,24.0,91.678,0.088,1.1,-0.01843746666666666
142,e142-h1-h16-g0,h1,h16,7.71,81.9325,0.143,0.086,-0.033745166666666666
142,e142-h2-h15-g1,h2,h15,15.4,81.488,0.077,0.54,-0.02300157777777777
143,e143-h1-h16-g0,h1,h16,15.1,78.7075,0.077,0.52,-0.021699944444444442
143,e143-h2-h15-g1,h2,h15,15.3,78.464,0.124,0.079,-0.014635399999999991
144,e144-h1-h16-g0,h1,h16,14.3,82.581,0.079,0.52,-0.02580782222222222
144,e144-h2-h15-g1,h2,h15,16.6,81.247,0.155,0.085,-0.013599311111111104
